IID,prs_basal_metabolic_rate,prs_power_potential,prs_stress_fracture_risk,prs_total_protein,prs_englyst_dietary_fibre,prs_savoury_snack_consumers,prs_overall_bone_mineral_density,prs_reduced_heart_beat_response_to_exercise,prs_endurance,prs_aversion_to_exercise,prs_total_fattty_acids,prs_potential_for_lean_body_mass
9541.23andme,-1.44939161e-05,-1.25036406e-05,-0.000593874984,-0.000121976547,8.92164582e-05,-9.08240576e-05,3.72853168e-05,0.000402351329,2.79968124e-06,-0.000124054148,-6.55639419e-05,-7.13061137e-06
9546.ancestry,-2.07668269e-05,-2.05324196e-05,-0.000571192436,-0.000129314414,9.58096343e-05,-8.42305234e-05,-2.01418868e-06,0.000380751763,3.00558602e-06,-0.000144923238,-0.000130127897,-1.25813098e-05
user1001_file496_yearofbirth_unknown_sex_unknown.ancestry,-1.26777929e-05,-1.84272507e-05,-0.00055232002,-0.000105639795,8.4644237e-05,-9.68732378e-05,3.87548451e-06,0.00039297046,-1.00085547e-06,-0.000142401226,-9.13923898e-05,-5.51321777e-06
user1002_file497_yearofbirth_unknown_sex_unknown.23andme,-1.39775309e-05,-1.67424574e-05,-0.000571885922,-7.41670895e-05,6.36782815e-05,-9.32628629e-05,0.000101760543,0.000394450185,6.13682358e-06,-0.000128850979,-0.000110592147,-3.99062878e-06
user1004_file2228_yearofbirth_unknown_sex_unknown.23andme,-1.54290199e-05,-1.78086987e-05,-0.000555265973,-0.000112690599,6.99084808e-05,-9.35339964e-05,5.75035447e-05,0.000397674814,-1.66088938e-06,-0.000143183772,-0.000109704552,-7.51278756e-06
user1004_file498_yearofbirth_unknown_sex_unknown.23andme,-1.54290199e-05,-1.78086987e-05,-0.000555265973,-0.000112690599,6.99084808e-05,-9.35339964e-05,5.75035447e-05,0.000397674814,-1.66088938e-06,-0.000143183772,-0.000109704552,-7.51278756e-06
user1006_file499_yearofbirth_unknown_sex_unknown.23andme,-1.55289571e-05,-1.67144925e-05,-0.000572396492,-0.000125732516,4.77422534e-05,-0.000102431903,7.12042235e-05,0.000383409068,-8.39823893e-06,-0.000153236999,-0.000102222529,-6.56815779e-06
user1010_file502_yearofbirth_1984_sex_XY.23andme,-2.18048417e-05,-1.80577407e-05,-0.000544557442,-0.000129424737,6.10364124e-05,-0.000101896277,5.00303607e-06,0.000402998288,-1.91045678e-06,-0.000154309344,-0.000112309871,-1.3697189e-05
user1013_file503_yearofbirth_unknown_sex_unknown.23andme,-1.50591533e-05,-1.69967757e-05,-0.000551126509,-0.000103310935,8.13751077e-05,-9.01489328e-05,3.10884112e-06,0.00041430427,-1.44447066e-06,-0.000144770891,-0.000125256574,-6.88865194e-06
user1020_file507_yearofbirth_unknown_sex_unknown.23andme,-1.13462775e-05,-1.56555459e-05,-0.00057152112,-0.000114750088,6.67740302e-05,-0.000101158457,9.79377754e-05,0.000402786171,-3.75469436e-06,-0.000122265135,-0.00010458755,-2.03641108e-06
